고유번호,   식당명, 분류명, 행정동명, 위도, 경도, 평점, 방문자리뷰수
802029125, 카페구할구, 카페, 명동, 37.558633, 126.987030, 1.1, 500
1076687577, 남촌회관, 한식, 명동, 37.567337, 126.978439, 3.92, 397
302836751, 아키나이 제면, 일식, 명동, 37.563079, 126.982302, 3.89, 144
8609409, 향미 명동점, 중식, 명동, 37.562218, 126.981725, 3.95, 405
647860343, 중심 명동, 중식, 명동, 37.561780, 126.982547, 3.67, 414
1335913739, 금산제면소, 한식, 명동, 37.558630, 126.983679, 3.81, 370
254918904, 다올 숯불구이, 한식, 명동, 37.475601, 126.937821, 3.74, 417
549474667, 야마야 강남N타워점, 일식, 강남, 37.499799, 127.032435, 3.35, 354
26816485, 강남꿀돼지, 한식, 강남, 37.514442, 127.064657, 3.93, 335
22105109, 스타벅스 홍대역점, 카페, 홍대, 37.557156, 126.923582, 3.8, 497
